chirp_mass mass_ratio distance phi ra dec
84.59889 0.37634987 1587.3589 6.0959506 6.0959506 -0.7992379
99.45636 0.6998882 2773.9443 6.1740756 6.1740756 -0.85130125
63.96502 0.17813367 1065.4445 4.3322964 4.3322964 0.8460818
95.85659 0.27149627 2453.938 6.135013 6.135013 -0.90724224
96.92944 0.18543363 1621.0393 3.8127651 3.8127651 0.94199014
95.62329 0.42123753 2106.1682 6.2482944 6.2482944 -0.838098
91.783066 0.2845208 1427.8044 5.709232 5.709232 -0.32531524
82.44268 0.24964446 1910.388 4.23464 4.23464 0.85038185
60.066082 0.23442373 1271.7722 1.2307339 1.2307339 -1.1362019
97.67975 0.18408817 1597.7865 1.1369839 1.1369839 -1.1964568
84.90018 0.32348675 2122.5833 3.9104214 3.9104214 0.85445535
79.924065 0.34749725 1731.3557 1.1799526 1.1799526 -1.1539229
95.37033 0.19760185 1695.0941 4.0041714 4.0041714 0.9410992
88.9722 0.16908509 1724.2406 0.14479637 0.14479637 -0.9429067
99.87724 0.18733653 1509.1138 0.9846401 0.9846401 -1.1370548
70.572754 0.13494432 1976.8877 3.8479214 3.8479214 0.9458227
80.068245 0.28353593 1924.3489 4.402609 4.402609 0.77168775
71.37573 0.2119185 1411.8503 3.9338589 3.9338589 0.96602476
75.8878 0.1797724 2152.363 3.8908901 3.8908901 0.87521124
94.73448 0.33183935 1592.487 4.3166714 4.3166714 0.7802354
95.520065 0.3450449 2420.2827 6.1428256 6.1428256 -0.84508294
70.419846 0.22751299 1700.4656 3.2776089 3.2776089 0.5679807
95.67941 0.15087456 2232.8086 3.5393276 3.5393276 0.5661137
95.80043 0.26983553 2473.5437 3.4338589 3.4338589 0.6358456
92.28331 0.29570365 2273.7366 3.8908901 3.8908901 0.9674274
61.996338 0.20316547 1498.2988 6.006107 6.006107 -0.52987957
79.851776 0.13492545 1666.5707 0.8283901 0.8283901 -1.1152068
76.46878 0.24615526 1733.407 3.9299526 3.9299526 0.9534272
89.00209 0.29345495 1845.3588 4.4104214 4.4104214 0.7296806
98.94542 0.19397834 1544.8523 4.3987026 4.3987026 0.7947634
96.08991 0.33740836 1773.6509 3.2268276 3.2268276 0.49623632
84.245026 0.27611208 1735.5005 3.8830776 3.8830776 0.9570758
90.37485 0.35419503 1891.3728 4.344015 4.344015 0.79908025
89.276344 0.2525802 1743.5812 3.9260464 3.9260464 0.9468068
89.76135 0.3892651 1622.3394 4.3322964 4.3322964 0.83293694
69.213326 0.18065643 1674.6486 6.240482 6.240482 -1.0696702
90.677536 0.39447886 2496.0452 3.2619839 3.2619839 0.33290708
82.2435 0.22876814 1644.7166 0.19167137 0.19167137 -1.2333323
97.3334 0.18310836 2576.1848 6.2170444 6.2170444 -1.1420258
72.048836 0.24272192 1899.3328 5.865482 5.865482 -0.5489585
94.64975 0.34070557 1962.0967 0.36745262 0.36745262 -1.0908512
87.2908 0.2916239 1498.2611 1.2697964 1.2697964 -1.1637894
92.94557 0.3171593 2153.5603 1.2385464 1.2385464 -1.2164888
90.61981 0.29791582 2487.1836 0.22292137 0.22292137 -1.1938546
86.7605 0.22016683 2131.696 6.2678256 6.2678256 -1.0754232
91.89716 0.29201743 1706.209 4.246359 4.246359 0.855427
81.56529 0.13154492 1833.1498 0.21510887 0.21510887 -1.115483
94.687386 0.2975726 2166.9714 0.011983871 0.011983871 -0.9538496
98.08636 0.28431058 2009.4939 3.2697964 3.2697964 0.58578914
75.166855 0.22678405 1184.5122 3.8205776 3.8205776 0.8621316
